Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Fiber, total dietary (g)",Total Sugars (g),Recipe_Title,Total_Weight_g,Matched_Ingredients,Total_Ingredients,Unmatched_Ingredients,Dietary_Category,title,ingredients,directions,link,source,NER,site,Reclassified_Dietary_Category
137,68,2,1209,0,0,Prize-Winning Meat Loaf,692.0136099999999,7,7,0,No Restriction,Prize-Winning Meat Loaf,"[""1 1/2 lb. ground beef"", ""1 c. tomato juice"", ""3/4 c. oats (uncooked)"", ""1 egg, beaten"", ""1/4 c. chopped onion"", ""1/4 tsp. pepper"", ""1 1/2 tsp. salt""]","[""Mix well."", ""Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Bake in preheated moderate oven."", ""Bake at 350\u00b0 for 1 hour."", ""Let stand 5 minutes before slicing."", ""Makes 8 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=923674,Gathered,"[""egg"", ""tomato juice"", ""pepper"", ""oats"", ""onion"", ""ground beef"", ""salt""]",www.cookbooks.com,No Restriction
17,1,148,628,14,82,Artichoke Dip,852.0,3,3,0,No Restriction,Artichoke Dip,"[""2 cans or jars artichoke hearts"", ""1 c. mayonnaise"", ""1 c. Parmesan cheese""]","[""Drain artichokes and chop."", ""Mix with mayonnaise and Parmesan cheese."", ""After well mixed, bake, uncovered, for 20 to 30 minutes at 350\u00b0."", ""Serve with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=263108,Gathered,"[""mayonnaise"", ""parmesan cheese"", ""hearts""]",www.cookbooks.com,Vegetarian
109,49,32,1023,3,6,Spanish Hamburgers,610.8888999999998,12,12,0,No Restriction,Spanish Hamburgers,"[""1/2 c. celery"", ""2 chopped onions"", ""2 Tbsp. butter"", ""1 lb. ground beef"", ""2 Tbsp. vinegar"", ""2 Tbsp. lemon juice"", ""2 Tbsp. brown sugar"", ""1 1/2 Tbsp. mustard"", ""1 tsp. salt"", ""1 1/2 tsp. pepper"", ""1 c. catsup"", ""1 c. water""]","[""Brown celery, onions and ground beef in butter."", ""Add vinegar, lemon juice, brown sugar, mustard, salt, pepper catsup and water. Simmer for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=467221,Gathered,"[""vinegar"", ""pepper"", ""lemon juice"", ""brown sugar"", ""water"", ""celery"", ""catsup"", ""onions"", ""ground beef"", ""mustard"", ""butter"", ""salt""]",www.cookbooks.com,No Restriction
151,45,170,1665,0,91,Beef And Spanish Rice Casserole,851.5,4,4,0,No Restriction,Beef And Spanish Rice Casserole,"[""1 can Spanish rice"", ""1 can corned beef"", ""1 diced onion"", ""1/2 c. grated Cheddar cheese""]","[""Spray a 1-quart casserole dish with Pam."", ""Layer rice and meat, diced onion and grated cheese."", ""Bake at 350\u00b0 for 25 to 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=244485,Gathered,"[""cheddar cheese"", ""corned beef"", ""onion"", ""spanish rice""]",www.cookbooks.com,No Restriction
19,6,241,1038,27,122,Apricot Dessert,1410.8346,5,5,0,Vegan,Apricot Dessert,"[""1 angel food cake, broken into pieces"", ""46 oz. apricot nectar"", ""1 1/4 c. sugar"", ""7 Tbsp. cornstarch"", ""1 c. chopped walnuts""]","[""Mix cornstarch and sugar."", ""Add nectar and cook, bringing to a boil."", ""Stir constantly and cook until thickened."", ""Cool slightly.""]",www.cookbooks.com/Recipe-Details.aspx?id=265011,Gathered,"[""sugar"", ""apricot nectar"", ""cake"", ""cornstarch"", ""walnuts""]",www.cookbooks.com,Vegan
113,260,57,2799,21,2,Almond Roco,459.842,6,6,0,Vegetarian,Almond Roco,"[""1 lb. butter (not margarine)"", ""2 c. granulated sugar"", ""1/2 c. water"", ""1/2 c. chopped almonds"", ""3 chocolate candy bars"", ""1/4 c. chopped almonds or as desired (for topping)""]","[""Cook until hard ball stage in cold water."", ""Add 1/2 cup chopped almonds and cook until it reaches cracked candy stage, 300\u00b0, on candy thermometer."", ""Melt the 3 chocolate candy bars and pour on top and sprinkle chopped almonds.""]",www.cookbooks.com/Recipe-Details.aspx?id=588117,Gathered,"[""sugar"", ""chocolate"", ""water"", ""almonds"", ""butter""]",www.cookbooks.com,Vegetarian
59,46,139,1205,6,27,Shepherd'S Pie,456.690345,5,5,0,No Restriction,Shepherd'S Pie,"[""1 lb. hamburg"", ""1/4 c. chopped onion"", ""1/4 tsp. salt"", ""1/8 tsp. pepper"", ""1 c. mashed potatoes""]","[""Fry hamburg and onion until brown."", ""Drain off liquid."", ""Add salt and pepper."", ""Spoon into 1-quart casserole and place potatoes on top."", ""Put butter and paprika over potatoes."", ""Bake in a 425\u00b0 oven for 15 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=947665,Gathered,"[""potatoes"", ""pepper"", ""onion"", ""hamburg"", ""salt""]",www.cookbooks.com,No Restriction
114,36,5,836,0,0,Pepperoni Spaghetti,509.58614,8,8,0,No Restriction,Pepperoni Spaghetti,"[""1 large onion, chopped"", ""1 green pepper, chopped"", ""1 lb. ground beef"", ""1 (3 oz.) pkg. sliced pepperoni, chopped"", ""1 (32 oz.) jar spaghetti sauce with mushrooms"", ""1 (12 oz.) pkg. spaghetti"", ""1 c. (4 oz.) shredded Mozzarella cheese"", ""1 Tbsp. grated Parmesan cheese""]","[""Combine onion, green pepper, ground beef and pepperoni in a large skillet."", ""Cook over medium heat until beef browns, stirring to crumble."", ""Add spaghetti sauce and bring to a boil."", ""Cover, reduce heat and simmer 20 minutes, stirring occasionally.""]",www.cookbooks.com/Recipe-Details.aspx?id=928245,Gathered,"[""spaghetti"", ""mozzarella cheese"", ""parmesan cheese"", ""mushrooms"", ""onion"", ""ground beef"", ""green pepper"", ""pepperoni""]",www.cookbooks.com,No Restriction
28,14,43,339,39,11,Florida Punch,959.353,6,6,0,Vegan,Florida Punch,"[""1 c. sugar"", ""2 c. water"", ""4 c. cranberry juice"", ""4 c. pineapple juice"", ""2 c. orange juice"", ""1 qt. ginger ale""]","[""Bring to a boil the sugar and water until sugar is dissolved. Add cranberry, pineapple and orange juices."", ""When ready to serve, add ginger ale.""]",www.cookbooks.com/Recipe-Details.aspx?id=503186,Gathered,"[""sugar"", ""cranberry juice"", ""water"", ""pineapple juice"", ""orange juice"", ""ginger ale""]",www.cookbooks.com,Vegan
28,15,43,349,39,10,Hattie Coffer'S Kool-Aid Punch,962.853,7,7,0,Vegan,Hattie Coffer'S Kool-Aid Punch,"[""1 c. water"", ""2 c. sugar"", ""1 qt. ginger ale"", ""1 pkg. Kool-Aid (any flavor)"", ""1/2 c. lemon juice"", ""2 c. pineapple juice"", ""10 c. water""]","[""Make a syrup of the 1 cup of water and 2 cups of sugar. Cook until sugar is dissolved."", ""Add the remaining ingredients. Makes about 30 cups.""]",www.cookbooks.com/Recipe-Details.aspx?id=776286,Gathered,"[""sugar"", ""lemon juice"", ""water"", ""pineapple juice"", ""ginger ale""]",www.cookbooks.com,Vegan
